City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tolanaro,-25.0319,46.9987,22.04,83,20,9.26,MG,1692377863
1,stanley,54.868,-1.6985,16.55,92,75,5.14,GB,1692377863
2,anadyr,64.75,177.4833,15.28,77,40,4.92,RU,1692377864
3,mahina,-17.5065,-149.489,21.53,78,20,2.57,PF,1692377864
4,puerto lleras,3.0223,-73.4044,30.63,64,34,1.23,CO,1692377865
5,edinburgh of the seven seas,-37.0676,-12.3116,12.41,71,100,13.22,SH,1692377865
6,bengkulu,-3.8004,102.2655,24.27,88,45,4.68,ID,1692377866
7,kerikeri,-35.2268,173.9474,10.3,76,100,3.17,NZ,1692377867
8,iwanai,42.9744,140.5089,21.69,96,38,1.92,JP,1692377867
9,mejit,10.2753,170.8646,27.91,79,58,7.54,MH,1692377868
10,saint-pierre,-21.3393,55.4781,20.82,83,20,2.06,RE,1692377868
11,dhromolaxia,34.8755,33.5868,32.58,79,0,6.26,CY,1692377868
12,hithadhoo,-0.6,73.0833,28.5,68,18,5.88,MV,1692377869
13,awjilah,29.1081,21.2869,33.54,20,0,4.14,LY,1692377869
14,priozersk,61.0393,30.1291,16.72,92,81,2.21,RU,1692377870
15,weno,7.4515,151.8468,28.52,73,85,3.19,FM,1692377870
16,gebeit,21.0667,36.3167,35.1,38,18,4.94,SD,1692377871
17,qaqortoq,60.7167,-46.0333,8.69,80,82,2.6,GL,1692377872
18,waitangi,-43.9535,-176.5597,10.46,81,52,4.02,NZ,1692377872
19,port-aux-francais,-49.35,70.2167,1.13,69,94,18.22,TF,1692377873
20,orhaneli,39.9033,28.9906,29.36,36,35,2.51,TR,1692377873
21,bukama,-9.2,25.85,29.82,20,6,0.6,CD,1692377874
22,lebu,-37.6167,-73.65,10.73,64,65,2.39,CL,1692377874
23,yuzhno-kurilsk,44.0306,145.8556,17.79,91,98,2.09,RU,1692377875
24,monte alegre de sergipe,-10.0272,-37.5622,26.27,58,95,6.31,BR,1692377875
25,puerto natales,-51.7236,-72.4875,1.82,83,100,0.18,CL,1692377876
26,pankrushikha,53.8319,80.3406,15.45,70,88,2.44,RU,1692377877
27,kodiak,57.79,-152.4072,7.73,93,0,0.0,US,1692377877
28,west island,-12.1568,96.8225,23.99,78,75,7.72,CC,1692377878
29,kralendijk,12.15,-68.2667,31.99,66,40,5.14,BQ,1692377766
30,parauna,-16.9478,-50.4486,32.7,21,0,4.17,BR,1692377879
31,albany,42.6001,-73.9662,25.23,72,65,1.34,US,1692377879
32,carnarvon,-24.8667,113.6333,18.29,34,0,6.65,AU,1692377880
33,grytviken,-54.2811,-36.5092,-6.5,74,13,6.51,GS,1692377880
34,saint-francois,46.4154,3.9054,33.69,29,0,2.06,FR,1692377880
35,ponta delgada,37.7333,-25.6667,25.4,61,20,5.14,PT,1692377881
36,el porvenir,13.7617,-87.3458,30.63,33,90,2.3,HN,1692377882
37,yellowknife,62.456,-114.3525,12.45,73,100,5.66,CA,1692377702
38,ushuaia,-54.8,-68.3,6.79,61,40,3.6,AR,1692377883
39,bredasdorp,-34.5322,20.0403,10.63,90,83,1.83,ZA,1692377883
40,dores do indaia,-19.4633,-45.6017,30.3,26,0,3.15,BR,1692377884
41,adamstown,-25.066,-130.1015,16.92,56,83,10.06,PN,1692377884
42,hermanus,-34.4187,19.2345,12.67,87,55,1.85,ZA,1692377885
43,lubao,14.9167,120.55,26.84,90,54,1.86,PH,1692377886
44,longyearbyen,78.2186,15.6401,5.91,81,75,6.69,SJ,1692377833
45,thompson,55.7435,-97.8558,16.09,94,100,1.54,CA,1692377291
46,twante,16.7167,95.9333,27.07,91,99,2.34,MM,1692377887
47,isafjordur,66.0755,-23.124,12.02,94,100,0.0,IS,1692377887
48,xiaoweizhai,26.1903,107.5125,22.67,84,100,1.32,CN,1692377888
49,sucre,-19.0333,-65.2627,21.14,20,0,5.01,BO,1692377889
50,tommot,58.9564,126.2925,15.87,96,100,1.17,RU,1692377889
51,balaipungut,1.05,101.2833,24.17,98,98,0.93,ID,1692377890
52,lockwood,45.8191,-108.4149,31.22,40,100,5.14,US,1692377890
53,port alfred,-33.5906,26.891,15.26,75,2,9.59,ZA,1692377891
54,talnakh,69.4865,88.3972,15.67,67,100,2.0,RU,1692377891
55,darwin,-12.4611,130.8418,23.83,86,40,2.57,AU,1692377892
56,papatowai,-46.5619,169.4708,6.49,80,69,6.53,NZ,1692377893
57,klyuchi,52.2667,79.1667,16.67,53,27,3.01,RU,1692377894
58,susuman,62.7833,148.1667,10.9,86,58,1.59,RU,1692377895
59,fortuna,40.5982,-124.1573,16.48,98,100,0.0,US,1692377896
60,chonchi,-42.6128,-73.8092,7.84,81,84,2.34,CL,1692377896
61,mariinsk,56.2139,87.7472,9.15,92,55,2.49,RU,1692377897
62,puerto ayora,-0.7393,-90.3518,27.98,87,59,4.02,EC,1692377897
63,kitakami,39.2833,141.1167,23.61,98,67,1.04,JP,1692377898
64,road town,18.4167,-64.6167,33.05,66,75,8.23,VG,1692377899
65,port lincoln,-34.7333,135.8667,13.52,79,48,6.41,AU,1692377899
66,ilulissat,69.2167,-51.1,7.1,59,7,1.79,GL,1692377900
67,tobelo,1.7284,128.0095,25.61,86,99,3.41,ID,1692377901
68,natal,-5.795,-35.2094,30.36,65,75,7.2,BR,1692377726
69,bethel,41.3712,-73.414,26.79,68,40,3.6,US,1692377808
70,afaahiti,-17.75,-149.2833,20.59,72,58,10.31,PF,1692377903
71,labuan bajo,-8.4964,119.8877,22.27,86,37,2.56,ID,1692377903
72,minas de marcona,-15.2119,-75.1103,13.95,78,93,6.42,PE,1692377904
